transaction_id,customer_id,product_id,quantity,total_amount,transaction_date
920392,28909,593,4,1354.95,2025-01-31 17:31:01
223320,37058,657,4,3568.95,2025-02-23 20:04:07
897441,42763,438,4,917.5,2025-02-05 06:19:06
907197,26357,927,3,1768.79,2025-01-13 22:05:43
406022,42847,877,3,48.1,2025-01-11 04:23:56
185886,97545,438,2,3919.75,2025-02-08 04:42:50
376973,18063,735,5,136.94,2025-03-15 15:23:16
720406,27839,540,1,4065.42,2025-01-24 04:00:38
170716,32852,187,1,2450.75,2025-03-27 11:36:07
812702,17992,196,3,2983.13,2025-03-03 19:24:52
909086,84553,241,2,901.63,2025-02-19 01:11:07
720662,37922,113,3,4246.81,2025-03-04 16:53:50
437546,73059,438,2,1333.41,2025-03-27 12:49:43
811039,90804,241,5,3474.69,2025-02-03 05:51:55
102744,69674,363,5,2364.13,2025-03-24 05:05:42
963741,22602,358,5,2444.54,2025-02-24 23:21:30
271486,65729,409,5,1559.9,2025-03-07 08:48:59
442500,91460,742,1,881.96,2025-01-08 09:24:12
942307,96341,187,3,352.54,2025-01-04 21:01:27
766030,94531,657,4,2233.56,2025-02-17 18:21:05
929751,69833,374,1,2752.1,2025-01-26 23:16:06
310433,75698,196,3,2480.87,2025-01-19 04:54:46
648809,91533,241,2,1069.4,2025-01-03 21:50:57
155278,63783,436,1,845.78,2025-01-11 03:38:09
978734,69493,385,2,4183.67,2025-02-05 10:48:19
723504,27394,255,4,1600.77,2025-01-14 05:04:49
695948,38189,927,5,2997.12,2025-02-03 13:30:11
506925,10042,338,3,3333.5,2025-01-14 18:12:17
599982,61326,492,1,228.74,2025-02-01 23:41:31
201320,25111,358,4,1723.25,2025-01-08 14:25:01
529701,60969,321,4,1597.58,2025-03-19 11:41:18
810583,56534,533,1,4610.25,2025-01-18 05:24:49
857311,23491,927,5,4366.26,2025-02-01 13:09:05
757984,87118,287,1,1341.51,2025-03-01 21:16:35
777230,70776,338,2,1307.54,2025-03-13 12:28:58
368086,74279,321,1,4209.44,2025-02-28 19:39:27
811687,98804,499,5,1856.84,2025-03-09 17:56:43
601328,28241,667,3,1442.87,2025-03-20 15:26:48
502528,94224,851,3,4105.94,2025-03-13 02:37:39
559600,98497,670,4,574.55,2025-03-06 08:39:08
456484,74400,395,2,112.97,2025-02-05 00:45:13
741225,79182,492,3,3671.81,2025-01-01 20:12:44
484977,96119,748,4,28.15,2025-02-28 01:57:29
181797,45577,385,2,4579.6,2025-03-09 01:43:29
775941,66339,187,1,1118.52,2025-03-25 16:57:41
548671,30596,274,1,1442.62,2025-02-28 20:25:50
529158,36650,732,1,3705.5,2025-01-02 00:05:34
476695,90559,735,1,4015.9,2025-02-01 16:08:22
613665,11666,651,1,3041.1,2025-03-29 09:19:24
704076,12201,732,3,4804.2,2025-03-17 07:19:11
877691,75112,877,3,2835.9,2025-02-18 02:33:08
111558,36707,274,3,4231.25,2025-03-24 17:05:04
622353,66786,385,2,1363.5,2025-02-11 20:03:49
629117,52138,778,1,2071.65,2025-03-12 11:00:38
570218,99282,580,3,11.93,2025-03-18 13:16:29
487222,21058,680,3,3860.32,2025-02-19 03:05:55
267792,90388,196,3,3153.69,2025-01-08 15:34:57
690505,23152,652,4,1663.1,2025-01-14 11:34:54
883290,77485,732,4,1116.53,2025-03-02 05:38:33
520062,84448,877,3,2323.83,2025-01-22 15:40:50
943345,67315,917,3,4712.53,2025-01-15 21:34:37
658467,62562,735,3,2622.9,2025-01-31 02:27:23
716732,85977,338,1,2904.63,2025-03-27 16:47:53
238964,67181,593,2,2508.5,2025-03-22 03:30:43
245160,66503,318,3,1940.3,2025-01-16 16:02:07
106874,52373,558,3,1851.53,2025-01-12 14:59:50
205241,58485,695,5,515.42,2025-01-03 12:09:04
868566,76056,363,5,1411.55,2025-01-28 08:59:17
588536,83267,717,5,3003.8,2025-02-17 08:02:26
879901,35933,492,1,2315.77,2025-01-03 18:11:36
874632,17037,742,4,2328.31,2025-01-25 21:54:53
226889,59526,673,3,477.47,2025-01-10 04:44:28
668819,53842,742,5,2358.37,2025-03-18 14:08:32
798463,87478,688,4,1260.99,2025-03-13 16:42:19
776657,36457,680,2,2027.3,2025-02-09 21:21:28
560425,74493,307,5,2388.32,2025-02-27 09:08:11
835063,81218,409,4,4270.18,2025-02-04 13:22:56
108279,36127,717,2,2496.96,2025-01-28 17:16:39
240168,49419,673,2,4328.93,2025-02-05 23:03:15
802955,88498,262,3,4533.36,2025-03-19 11:27:03
119171,25881,497,3,4294.4,2025-03-17 06:42:01
751124,27025,673,5,3609.23,2025-03-02 06:28:23
150718,73967,321,4,1647.27,2025-02-05 08:22:58
683954,90152,540,3,4814.78,2025-01-29 12:32:30
844873,43186,680,4,9.1,2025-03-11 02:59:26
155567,85315,208,2,2911.6,2025-01-20 08:51:30
434120,43365,772,4,147.82,2025-03-15 20:43:41
879516,23096,533,1,3172.14,2025-03-14 14:47:28
772583,92474,748,3,184.59,2025-02-06 10:53:17
945445,12056,498,4,2096.98,2025-02-09 20:01:36
814088,56246,709,4,704.3,2025-03-17 14:13:55
482304,30800,150,4,104.1,2025-03-22 01:12:18
625238,28412,593,1,2240.37,2025-01-22 08:12:02
534191,59711,540,3,748.58,2025-01-01 21:56:04
276830,13698,358,5,1152.3,2025-01-17 20:25:13
724691,89747,558,3,3155.78,2025-01-07 21:00:11
952242,51820,772,4,2114.18,2025-02-10 20:42:26
935815,37349,680,2,968.86,2025-02-08 15:39:15
256890,42498,470,2,394.88,2025-03-09 01:40:57
550129,45258,410,5,2217.31,2025-02-02 09:06:45
750049,91618,492,2,907.47,2025-02-20 12:16:01
460496,63888,499,4,2307.33,2025-01-11 06:42:13
670575,95207,196,5,4595.31,2025-02-27 18:32:47
778029,46945,241,5,3775.68,2025-02-15 22:16:28
493000,53326,339,1,792.64,2025-01-07 05:13:33
236721,58485,911,2,2626.88,2025-01-06 06:18:35
492405,14761,670,4,642.2,2025-01-22 21:48:49
893216,97105,409,2,2342.3,2025-03-02 09:18:26
951428,22045,652,3,4068.85,2025-02-16 19:20:35
644479,51483,680,4,1457.53,2025-01-19 12:35:21
485094,96649,385,2,3669.29,2025-03-26 10:45:26
564910,23885,673,3,1027.1,2025-03-23 04:36:07
588832,58218,743,5,4691.91,2025-02-26 06:33:42
250028,98067,307,4,2684.95,2025-03-26 17:04:08
227458,60664,652,1,1600.98,2025-02-28 12:07:13
598458,44505,363,4,1351.39,2025-02-23 04:59:39
692842,94633,436,5,756.68,2025-02-07 21:03:23
