transaction_id,customer_id,product_id,store_id,quantity,total_amount,transaction_date
861411,51315,699,6390,5,2753.49,2025-02-02 06:59:35
586840,46967,143,9426,2,3032.87,2025-03-27 22:21:28
396053,93761,375,7576,3,2115.24,2025-01-07 13:16:53
824093,76319,983,6420,4,2769.86,2025-02-04 12:38:59
229433,95085,957,6026,3,3308.28,2025-03-06 09:11:00
165651,89134,171,6749,3,3152.99,2025-01-22 17:05:33
129677,38032,508,6026,3,2253.28,2025-03-28 17:51:22
326461,13088,462,7880,1,2634.21,2025-01-20 00:22:01
814746,53172,809,6295,4,3274.33,2025-03-25 09:24:39
966048,81450,957,8307,5,2505.91,2025-01-15 15:30:47
300366,36670,382,9708,3,310.72,2025-01-04 02:15:25
194909,88432,797,9768,3,3374.31,2025-01-31 06:24:14
699047,89251,982,6390,5,864.54,2025-01-08 22:08:27
777145,70619,340,8725,2,4765.2,2025-03-12 03:11:07
774448,80946,696,6026,4,2580.99,2025-01-22 00:58:54
671687,86257,719,8670,4,1552.4,2025-03-26 04:48:16
961637,24287,117,5722,3,2661.98,2025-02-05 20:26:34
752436,42902,314,7557,4,4469.12,2025-01-13 23:21:35
721044,47074,830,5093,5,2843.7,2025-01-27 18:31:57
467741,14274,481,8918,4,4607.41,2025-02-13 05:18:56
407950,28732,503,5401,1,119.85,2025-01-12 11:31:15
133137,93756,171,8725,3,2525.11,2025-02-12 01:56:04
235722,62687,344,9768,2,4187.8,2025-03-28 09:44:11
608558,58838,421,9028,5,409.22,2025-03-22 06:49:27
483151,84096,481,8602,5,3238.24,2025-03-12 12:17:16
583883,20728,797,9494,2,2700.63,2025-03-20 11:17:02
410855,84847,396,6966,2,667.87,2025-03-10 22:01:40
405034,84997,314,7908,1,2491.33,2025-02-18 00:25:43
138178,77432,107,9426,1,4700.52,2025-02-28 01:36:47
151464,70548,646,6186,5,1187.24,2025-02-18 06:36:13
803948,86824,983,5722,2,1754.14,2025-03-13 12:15:48
320306,90350,983,5160,1,2713.78,2025-02-13 06:12:46
363809,20516,809,7908,4,1893.65,2025-01-11 03:25:42
143003,56965,503,7522,5,3391.35,2025-02-21 15:46:28
925509,22403,462,7576,1,4971.4,2025-03-05 08:40:55
342878,25589,143,6749,5,4578.43,2025-01-20 12:52:04
304307,27359,630,9768,5,2968.49,2025-03-21 18:47:49
116266,74580,324,6186,5,948.83,2025-03-15 13:58:33
318204,65059,382,9768,4,4377.86,2025-03-08 06:11:01
779746,70279,688,7335,5,3086.42,2025-03-11 06:17:21
902888,70415,281,5946,1,1622.77,2025-02-12 09:11:33
560620,49650,462,5722,2,3620.82,2025-01-06 07:31:57
933654,72447,344,6749,1,3504.14,2025-02-17 13:38:25
381219,59222,373,6186,2,3790.17,2025-02-22 20:23:11
175923,38520,797,6420,5,3986.65,2025-01-03 05:54:23
765239,94800,907,9763,5,965.51,2025-02-22 20:35:50
988777,83404,430,8204,2,2963.8,2025-01-27 23:50:38
537090,51798,553,9028,5,4773.37,2025-02-17 13:20:01
145575,31624,373,7693,3,1394.69,2025-01-25 11:43:59
639240,76788,218,6026,3,3588.78,2025-03-15 17:18:23
701871,19294,386,5722,1,1205.57,2025-03-02 07:13:45
587373,95981,366,8204,5,1274.11,2025-01-17 03:23:23
386145,43858,505,6390,3,330.77,2025-02-03 02:02:19
234985,72700,646,8494,1,4698.18,2025-01-12 12:04:23
557392,27081,308,9763,5,2695.45,2025-01-01 08:48:07
283128,44333,481,5160,5,4669.67,2025-02-07 13:11:14
195133,34805,430,7880,3,1422.63,2025-03-08 11:04:50
815295,59616,809,6966,4,4413.7,2025-02-09 06:49:20
757890,39729,353,6390,5,4590.91,2025-03-12 15:14:41
823458,68056,143,9028,4,4862.99,2025-02-16 01:41:32
393220,42472,117,6295,3,1145.47,2025-02-19 23:07:37
129162,60051,281,9028,2,2222.7,2025-01-13 20:31:24
507244,61422,637,9299,1,357.45,2025-01-15 11:34:58
888520,85518,107,8725,4,375.27,2025-03-16 03:30:00
904443,94189,979,6029,5,1760.63,2025-01-02 06:21:32
399969,99090,372,6211,5,1110.31,2025-01-17 07:51:16
931832,53521,704,8477,1,4296.58,2025-03-09 08:13:37
528736,21995,319,7880,1,2165.41,2025-01-21 22:20:56
560423,65497,107,7557,3,3736.35,2025-03-23 07:24:17
630117,91117,646,9426,1,2745.53,2025-01-20 09:12:21
542418,86675,586,5100,4,872.4,2025-02-16 12:13:54
286301,48715,107,8602,5,3627.18,2025-02-26 14:34:24
183191,64385,637,5160,4,2072.87,2025-01-18 03:30:44
176279,20268,688,5722,5,3164.42,2025-03-09 12:48:46
276261,66978,344,8670,4,4241.55,2025-01-06 07:04:18
917901,91014,982,9028,5,2906.7,2025-01-03 07:58:09
628575,47227,830,8477,1,3737.42,2025-01-24 11:34:05
844469,18285,143,7908,5,2708.85,2025-02-20 04:41:00
354179,28612,719,9374,4,1390.42,2025-01-03 09:47:57
620743,43906,372,8477,4,1805.92,2025-03-22 07:14:23
564470,76731,373,6029,4,3266.81,2025-03-11 21:23:03
717469,39181,216,6966,3,1219.47,2025-02-11 13:21:18
928005,79953,830,7693,4,1497.66,2025-02-11 07:17:54
167826,70987,166,8494,4,4215.57,2025-01-22 00:29:00
658135,52864,570,9299,3,2299.5,2025-02-26 07:19:33
982294,74488,340,6026,4,2470.72,2025-01-16 04:01:33
427757,72429,372,7522,2,3637.85,2025-01-25 09:26:17
603735,19575,319,5401,2,121.63,2025-01-21 12:50:15
954747,49556,696,6186,4,588.19,2025-01-21 07:05:50
169419,16349,382,7908,4,4957.97,2025-03-21 19:57:02
925691,80426,366,9426,1,3383.36,2025-01-10 11:07:27
289571,43038,646,6420,1,3664.64,2025-03-26 19:05:52
670921,38244,143,9028,5,2655.85,2025-02-04 11:23:17
601851,91582,754,5420,1,3926.47,2025-02-25 21:58:08
633370,82355,166,8477,1,1510.66,2025-01-16 18:10:23
557685,74126,754,6749,5,3815.12,2025-02-15 02:48:13
889818,28477,566,5401,2,3284.22,2025-01-25 07:56:17
